PROVIDER,CLASSIFICATION,DESCRIPTION,PRICE,UNIT
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,CONSULTATIONS,Specialist Initial Consultation,1500,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,CONSULTATIONS,Specialist Review ( Per visit),1000,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,CONSULTATIONS,Nursing Care (per day),700,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,CONSULTATIONS,"Special Nursing Care (e.g. Intensive care, SCBU, Paediatric Emergency
etc)",1000,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,CONSULTATIONS,Hospital Bed Occupancy,1000,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Atropine 0.5mg/amp,45,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Atropine 1mg/ 1ml,45,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Diazepam 5mg/ml in 2 ml,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Hyoscine N -Butylbromide 20mg/ml,18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Morphine 10 mg/ml, 15mg/ml in 1ml ampoules",180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Morphine 25mg, (Hydrochloride)",270,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Promethazine 5mg/5ml,4.5,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Promethazine 25mg/ml (HC1) in 1 ml,135,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Promethazine 2ml Ampoule,18,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Atracurium 50 mg/ml,1440,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Neostigmine 2.5mg/ml in 1ml ampoule,225,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Pancuronium 4mg/2ml,324,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Pancuronium ,324,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Suxamethonium 100mg/2ml,225,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Lidocaine 1%, /2% + Adrenaline 1:200000",360,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Bupivacaine Plain or with epinephrine,720,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Lidocaine 0.1,360,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Lidocaine 2-4%,1350,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Lidocaine 2-5%,810,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,"Lidocaine 2% + epinephrine (adrenaline) 1:80,000",765,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Prilocaine 3% with felypressin 0.03units/ml,720,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Morphine 10mg ( SO4  or HC1) in 1ml Ampoule,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Morphine 15mg ( SO4  or HC1) in 1ml Ampoule,270,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Morphine 30mg,90,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Pentazocine 30mg/ml,180,
NHIS-USMANU DANFODIYO UNIVERSITY TEACHING HOSPITAL,DRUGS,Pentazocine 25mg,45,
